TrueMean,Bias,Distance,Bias Strength,Hyperbole,Extermity Bias,Fair & Balanced,Belief Mean,Belief Var,Belief Mean Error,Belief Var Error,Belief Mean MSE,Belief Var MSE,,H X BS,E X BS,FaB X BS
0,-1,1,0.1,1,1,0,0.01,1.53,0.01,0.53,0.00,0.28,,0,0.2,0
0,-1,1,0.1,1,1,1,0.00,1.53,0.00,0.53,0.00,0.28,,0,0.2,0
0,-1,1,0.1,2,0,0,-0.03,3.31,-0.03,2.31,0.00,5.33,,0,0.1,0
0,-1,1,0.1,2,0,1,0.01,3.30,0.01,2.30,0.00,5.29,,0,0.1,0
0,-1,1,0.1,2,1,0,0.00,3.74,0.00,2.74,0.00,7.53,,0,0.2,0
0,-1,1,0.1,2,1,1,-0.01,3.76,-0.01,2.76,0.00,7.62,,0,0.2,0
0,-1,1,1,1,0,0,-0.01,0.60,-0.01,-0.40,0.00,0.16,,0.9,1,0.9
0,-1,1,1,1,0,1,-0.07,0.60,-0.07,-0.40,0.00,0.16,,0.9,1,1.8
0,-1,1,1,1,1,0,-1.38,0.42,-1.38,-0.58,1.89,0.34,,0.9,2,0.9
0,-1,1,1,1,1,1,-1.36,0.42,-1.36,-0.58,1.86,0.34,,0.9,2,1.8
0,-1,1,1,2,0,0,-1.26,0.81,-1.26,-0.19,1.59,0.04,,1.8,1,0.9
0,-1,1,1,2,0,1,-0.07,0.79,-0.07,-0.21,0.01,0.05,,1.8,1,1.8
0,-1,1,1,2,1,0,-2.37,0.70,-2.37,-0.30,5.63,0.09,,1.8,2,0.9
0,-1,1,1,2,1,1,-2.21,0.68,-2.21,-0.32,4.88,0.10,,1.8,2,1.8
0,0,0,0.1,1,0,0,0.00,0.97,0.00,-0.03,0.00,0.00,,0,0.1,0
0,0,0,0.1,1,0,1,-0.01,0.96,-0.01,-0.04,0.00,0.00,,0,0.1,0
0,0,0,0.1,1,1,0,-0.01,1.53,-0.01,0.53,0.00,0.28,,0,0.2,0
0,0,0,0.1,1,1,1,0.00,1.53,0.00,0.53,0.00,0.29,,0,0.2,0
0,0,0,0.1,2,0,0,-0.03,3.30,-0.03,2.30,0.00,5.27,,0,0.1,0
0,0,0,0.1,2,0,1,0.01,3.30,0.01,2.30,0.00,5.30,,0,0.1,0
0,0,0,0.1,2,1,0,-0.04,3.76,-0.04,2.76,0.00,7.63,,0,0.2,0
0,0,0,0.1,2,1,1,-0.01,3.78,-0.01,2.78,0.00,7.72,,0,0.2,0
0,0,0,1,1,0,0,0.02,0.60,0.02,-0.40,0.00,0.16,,0.9,1,0.9
0,0,0,1,1,0,1,0.00,0.61,0.00,-0.39,0.00,0.15,,0.9,1,1.8
0,0,0,1,1,1,0,-1.36,0.43,-1.36,-0.57,1.86,0.33,,0.9,2,0.9
0,0,0,1,1,1,1,-1.37,0.42,-1.37,-0.58,1.87,0.34,,0.9,2,1.8
0,0,0,1,2,0,0,0.89,0.80,0.89,-0.20,0.79,0.04,,1.8,1,0.9
0,0,0,1,2,0,1,0.31,0.80,0.31,-0.20,0.09,0.04,,1.8,1,1.8
0,0,0,1,2,1,0,2.22,0.68,2.22,-0.32,4.91,0.10,,1.8,2,0.9
0,0,0,1,2,1,1,2.19,0.67,2.19,-0.33,4.78,0.11,,1.8,2,1.8
0,1,-1,0.1,1,0,0,0.00,0.97,0.00,-0.03,0.00,0.00,,0,0.1,0
0,1,-1,0.1,1,0,1,0.00,0.97,0.00,-0.03,0.00,0.00,,0,0.1,0
0,1,-1,0.1,1,1,0,-0.01,1.53,-0.01,0.53,0.00,0.28,,0,0.2,0
0,1,-1,0.1,1,1,1,-0.01,1.53,-0.01,0.53,0.00,0.28,,0,0.2,0
0,1,-1,0.1,2,0,0,0.01,3.30,0.01,2.30,0.00,5.31,,0,0.1,0
0,1,-1,0.1,2,0,1,0.07,3.30,0.07,2.30,0.01,5.31,,0,0.1,0
0,1,-1,0.1,2,1,0,0.00,3.78,0.00,2.78,0.00,7.75,,0,0.2,0
0,1,-1,0.1,2,1,1,0.04,3.78,0.04,2.78,0.00,7.71,,0,0.2,0
0,1,-1,1,1,0,0,0.01,0.60,0.01,-0.40,0.00,0.16,,0.9,1,0.9
0,1,-1,1,1,0,1,0.04,0.60,0.04,-0.40,0.00,0.16,,0.9,1,1.8
0,1,-1,1,1,1,0,1.37,0.42,1.37,-0.58,1.87,0.33,,0.9,2,0.9
0,1,-1,1,1,1,1,1.37,0.42,1.37,-0.58,1.87,0.34,,0.9,2,1.8
0,1,-1,1,2,0,0,0.97,0.80,0.97,-0.20,0.94,0.04,,1.8,1,0.9
0,1,-1,1,2,0,1,1.41,0.79,1.41,-0.21,2.00,0.04,,1.8,1,1.8
0,1,-1,1,2,1,0,2.29,0.69,2.29,-0.31,5.25,0.09,,1.8,2,0.9
0,1,-1,1,2,1,1,2.49,0.71,2.49,-0.29,6.19,0.08,,1.8,2,1.8
1,-1,2,0.1,1,0,0,1.00,0.97,0.00,-0.03,0.00,0.00,,0,0.1,0
1,-1,2,0.1,1,0,1,0.34,1.08,-0.66,0.08,0.44,0.01,,0,0.1,0
1,-1,2,0.1,1,1,0,1.64,0.83,0.64,-0.17,0.41,0.03,,0,0.2,0
1,-1,2,0.1,1,1,1,0.20,1.60,-0.80,0.60,0.64,0.36,,0,0.2,0
1,-1,2,0.1,2,0,0,1.84,3.25,0.84,2.25,0.70,5.07,,0,0.1,0
1,-1,2,0.1,2,0,1,0.50,3.37,-0.50,2.37,0.25,5.64,,0,0.1,0
1,-1,2,0.1,2,1,0,2.46,3.40,1.46,2.40,2.13,5.76,,0,0.2,0
1,-1,2,0.1,2,1,1,0.40,3.83,-0.60,2.83,0.37,7.99,,0,0.2,0
1,-1,2,1,1,0,0,0.92,0.60,-0.08,-0.40,0.01,0.16,,0.9,1,0.9
1,-1,2,1,1,0,1,-0.02,0.61,-1.02,-0.39,1.04,0.16,,0.9,1,1.8
1,-1,2,1,1,1,0,1.60,0.44,0.60,-0.56,0.36,0.31,,0.9,2,0.9
1,-1,2,1,1,1,1,-1.26,0.35,-2.26,-0.65,5.11,0.42,,0.9,2,1.8
1,-1,2,1,2,0,0,0.13,0.79,-0.87,-0.21,0.75,0.04,,1.8,1,0.9
1,-1,2,1,2,0,1,-1.04,0.73,-2.04,-0.27,4.18,0.08,,1.8,1,1.8
1,-1,2,1,2,1,0,-2.12,0.65,-3.12,-0.35,9.74,0.12,,1.8,2,0.9
1,-1,2,1,2,1,1,-1.99,0.64,-2.99,-0.36,8.93,0.13,,1.8,2,1.8
1,0,1,0.1,1,0,0,1.00,0.97,0.00,-0.03,0.00,0.00,,0,0.1,0
1,0,1,0.1,1,0,1,0.35,1.09,-0.65,0.09,0.42,0.01,,0,0.1,0
1,0,1,0.1,1,1,0,1.64,0.83,0.64,-0.17,0.41,0.03,,0,0.2,0
1,0,1,0.1,1,1,1,0.21,1.60,-0.79,0.60,0.63,0.36,,0,0.2,0
1,0,1,0.1,2,0,0,1.85,3.24,0.85,2.24,0.72,5.03,,0,0.1,0
1,0,1,0.1,2,0,1,0.47,3.36,-0.53,2.36,0.28,5.57,,0,0.1,0
1,0,1,0.1,2,1,0,2.43,3.43,1.43,2.43,2.03,5.92,,0,0.2,0
1,0,1,0.1,2,1,1,0.45,3.83,-0.55,2.83,0.31,8.00,,0,0.2,0
1,0,1,1,1,0,0,0.97,0.60,-0.03,-0.40,0.00,0.16,,0.9,1,0.9
1,0,1,1,1,0,1,-0.09,0.59,-1.09,-0.41,1.18,0.17,,0.9,1,1.8
1,0,1,1,1,1,0,1.64,0.44,0.64,-0.56,0.41,0.31,,0.9,2,0.9
1,0,1,1,1,1,1,-1.25,0.36,-2.25,-0.64,5.06,0.41,,0.9,2,1.8
1,0,1,1,2,0,0,-0.11,0.79,-1.11,-0.21,1.23,0.04,,1.8,0.9,0.9
