"TrueMean","Bias","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
-1,-1,0.1,1,0,0,-0.992,0.964,0.008,-0.036,0,0.001
-1,-1,0.1,1,0,1,-0.327,1.05,0.673,0.05,0.453,0.003
-1,-1,0.1,1,1,0,-1.638,0.826,-0.638,-0.174,0.407,0.03
-1,-1,0.1,1,1,1,-0.207,1.599,0.793,0.599,0.629,0.359
-1,-1,0.1,2,0,0,-1.856,3.254,-0.856,2.254,0.733,5.08
-1,-1,0.1,2,0,1,-0.473,3.354,0.527,2.354,0.278,5.543
-1,-1,0.1,2,1,0,-2.463,3.423,-1.463,2.423,2.139,5.872
-1,-1,0.1,2,1,1,-0.428,3.829,0.572,2.829,0.327,8.005
-1,-1,1,1,0,0,-0.996,0.603,0.004,-0.397,0,0.158
-1,-1,1,1,0,1,0.081,0.558,1.081,-0.442,1.169,0.196
-1,-1,1,1,1,0,-1.638,0.442,-0.638,-0.558,0.407,0.311
-1,-1,1,1,1,1,1.255,0.349,2.255,-0.651,5.086,0.423
-1,-1,1,2,0,0,0.073,0.796,1.073,-0.204,1.151,0.042
-1,-1,1,2,0,1,0.581,0.717,1.581,-0.283,2.5,0.08
-1,-1,1,2,1,0,-2.527,0.727,-1.527,-0.273,2.33,0.074
-1,-1,1,2,1,1,-2.529,0.732,-1.529,-0.268,2.339,0.072
-1,0,0.1,1,0,0,-0.998,0.966,0.002,-0.034,0,0.001
-1,0,0.1,1,0,1,-0.323,1.054,0.677,0.054,0.459,0.003
-1,0,0.1,1,1,0,-1.634,0.825,-0.634,-0.175,0.401,0.031
-1,0,0.1,1,1,1,-0.207,1.601,0.793,0.601,0.629,0.362
-1,0,0.1,2,0,0,-1.9,3.257,-0.9,2.257,0.81,5.096
-1,0,0.1,2,0,1,-0.5,3.358,0.5,2.358,0.25,5.561
-1,0,0.1,2,1,0,-2.473,3.417,-1.473,2.417,2.169,5.844
-1,0,0.1,2,1,1,-0.399,3.833,0.601,2.833,0.361,8.027
-1,0,1,1,0,0,-1.013,0.603,-0.013,-0.397,0,0.157
-1,0,1,1,0,1,0.077,0.558,1.077,-0.442,1.16,0.195
-1,0,1,1,1,0,-1.637,0.441,-0.637,-0.559,0.405,0.313
-1,0,1,1,1,1,1.25,0.358,2.25,-0.642,5.064,0.412
