"TrueMean","Bias","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
0,0,0.1,1,1,1,0.019,1.477,0.019,0.477,0,0.228
0,0,0.1,2,0,0,-0.134,1.346,-0.134,0.346,0.018,0.12
0,0,0.1,2,0,1,0.161,1.839,0.161,0.839,0.026,0.703
0,0,0.1,2,1,0,-0.29,2.144,-0.29,1.144,0.084,1.31
0,0,0.1,2,1,1,-0.152,2.047,-0.152,1.047,0.023,1.095
0,0,1,1,0,0,-0.127,0.625,-0.127,-0.375,0.016,0.141
0,0,1,1,0,1,0.04,0.545,0.04,-0.455,0.002,0.207
0,0,1,1,1,0,1.347,0.551,1.347,-0.449,1.816,0.201
0,0,1,1,1,1,1.398,0.513,1.398,-0.487,1.954,0.237
0,0,1,2,0,0,0.42,0.708,0.42,-0.292,0.177,0.085
0,0,1,2,0,1,-0.012,0.687,-0.012,-0.313,0,0.098
0,0,1,2,1,0,-1.677,0.516,-1.677,-0.484,2.812,0.235
0,0,1,2,1,1,-1.583,0.492,-1.583,-0.508,2.507,0.258
0,1,0.1,1,0,0,0.05,0.996,0.05,-0.004,0.002,0
0,1,0.1,1,0,1,0.134,0.953,0.134,-0.047,0.018,0.002
0,1,0.1,1,1,0,-0.089,1.406,-0.089,0.406,0.008,0.164
0,1,0.1,1,1,1,0.034,1.343,0.034,0.343,0.001,0.118
0,1,0.1,2,0,0,-0.215,1.798,-0.215,0.798,0.046,0.637
0,1,0.1,2,0,1,-0.176,1.474,-0.176,0.474,0.031,0.225
0,1,0.1,2,1,0,0.292,2.183,0.292,1.183,0.085,1.399
0,1,0.1,2,1,1,0.131,2.309,0.131,1.309,0.017,1.714
0,1,1,1,0,0,0.142,0.573,0.142,-0.427,0.02,0.182
0,1,1,1,0,1,0.088,0.612,0.088,-0.388,0.008,0.151
0,1,1,1,1,0,1.325,0.535,1.325,-0.465,1.756,0.216
0,1,1,1,1,1,1.383,0.327,1.383,-0.673,1.912,0.452
0,1,1,2,0,0,0.706,0.721,0.706,-0.279,0.499,0.078
0,1,1,2,0,1,1.37,0.743,1.37,-0.257,1.878,0.066
